33	40	45	49	55	61	67	74	81	89	100	111	122	140	157	175	205	237	274		
34	41	46	50	56	62	68	76	83	91	102	113	125	142	160	178	208	241	279		
35	42	46	51	57	63	70	77	84	92	104	115	127	145	163	181	212	246	284		
36	42	47	52	58	64	71	78	86	94	105	117	129	147	165	184	216	250	289		
37	43	48	53	59	66	72	80	87	95	107	119	132	150	168	187	219	254	294		
38	44	49	54	60	67	73	81	89	97	109	121	134	152	171	190	223	258	299		
39	44	50	55	62	68	75	83	90	99	111	123	136	155	174	193	226	262	304		
40	45	51	56	63	69	76	84	92	100	113	126	139	157	176	196	230	267	309		
41	46	51	57	64	70	77	85	93	102	115	128	141	160	179	199	233	271	314		
42	46	52	58	65	72	78	87	95	103	116	130	143	163	182	202	237	275	319		
43	47	53	59	66	73	80	88	96	105	118	132	146	165	185	205	240	279	324		
44	48	54	60	67	74	81	89	98	106	120	134	148	168	187	208	244	283	329		
45	48	55	61	68	75	82	91	99	108	122	136	150	170	190	211	248	288	334		
46	49	56	62	69	76	83	92	101	110	124	138	152	173	193	214	251	292	339		
47	50	56	63	70	77	85	94	102	111	126	140	155	175	196	217	255	296	344		
48	50	57	64	71	79	86	95	104	113	127	142	157	178	198	220	258	300	349		
49	51	58	65	72	80	87	96	105	114	129	144	159	180	201	223	260	301	349		
50	52	59	66	73	81	88	98	107	116	131	146	162	183	204	225	264	305	354		
51	52	60	67	74	82	90	99	108	117	133	148	164	185	206	228	267	310	358		
52	53	60	68	75	83	91	100	109	119	134	150	166	187	209	231	271	314	363		
53	53	61	69	76	84	92	101	111	120	136	152	168	190	212	234	274	318	368		
54	54	62	69	77	85	93	103	112	122	138	154	170	192	214	237	278	322	373		
55	55	62	70	78	86	94	104	113	123	140	156	173	195	217	240	281	326	378		
56	55	63	71	79	87	95	105	115	125	141	158	175	197	220	243	285	330	383		
57	56	64	72	80	88	97	106	116	126	143	160	177	200	222	245	288	334	387		
58	56	65	73	81	89	98	108	118	128	145	162	179	202	225	248	291	338	392		
59	57	65	74	82	90	99	109	119	129	146	164	181	204	227	251	295	342	397		
60	58	66	75	83	91	100	110	120	131	148	166	184	207	230	254	298	346	402		
61	58	67	76	84	92	101	111	122	132	150	168	186	209	233	257	302	351	407		
62	59	68	76	85	94	102	113	123	134	152	170	188	212	235	260	305	355	412		
63	60	68	77	86	95	103	114	124	135	153	172	190	214	238	263	309	359	416		
64	60	69	78	87	96	105	115	126	137	155	173	192	216	241	265	312	363	421		
65	61	70	79	88	97	106	116	127	138	157	175	195	219	243	268	316	367	426		
66	61	71	80	89	98	107	118	129	140	159	177	197	221	246	271	319	371	431		
67	62	71	81	90	99	108	119	130	141	160	179	199	224	249	274	323	375	436		
68	63	72	82	91	100	109	120	131	143	162	181	201	226	251	277	326	379	441		
69	63	73	83	92	101	110	122	133	144	164	183	203	229	254	280	329	383	446		
70	64	74	83	93	102	112	123	134	146	165	185	206	231	256	283	333	387	450		
71	64	74	84	94	103	113	124	135	147	167	187	208	233	259	285	336	392	455		
72	65	75	85	95	104	114	125	137	149	169	189	210	236	262	288	340	396	460		
73	66	76	86	96	105	115	127	138	150	171	191	212	238	264	291	343	400	465		
74	66	77	87	97	106	116	128	140	152	172	193	214	241	267	294	347	404	470		
75	67	77	88	98	107	117	129	141	153	174	195	217	243	270	297	350	408	475		
76	67	78	89	99	108	118	130	142	155	176	197	219	246	272	300	354	412	479		
77	68	79	90	100	109	120	132	144	156	177	199	221	248	275	303	357	416	484		
78	69	80	91	101	110	121	133	145	158	179	201	223	250	277	305	361	420	489		
79	69	80	91	101	112	122	134	146	159	181	203	225	253	280	308	364	424	494		
80	70	81	92	102	113	123	135	148	160	183	205	228	255	283	311	367	428	499		
